ID,Date,AAPL.city,AAPL.lat,AAPL.lon,AAPL.state,AAPL.pop,AAPL.minT,AAPL.maxT,AAPL.rain,AAPL.evap,AAPL.sun
99576,1/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.8,15.7,5,1.6,2.6
99577,2/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.7,15.8,0.8,1.4,7.8
99578,3/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.2,15.1,0,1.8,2.1
99579,4/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.3,15.9,0,1.4,8
99580,5/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.8,15.4,0,0,0.9
99581,6/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.3,15.7,0,0,1.5
99582,7/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.6,11.2,16.2,4.6,1.1
99583,8/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.3,13.5,17,0.6,2.1
99584,9/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.4,14.3,1.8,1.6,0.8
99585,10/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.5,13.1,9,1.2,7.2
99586,11/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.2,14,0.2,2.8,4.3
99587,12/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.1,15.8,0,0,6.1
99588,13/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.4,16.8,0,0,9.1
99589,14/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10,15.4,3.8,7,0.5
99590,15/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.1,14.7,4,2.8,2.3
99591,16/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.3,14.1,0.2,1.6,3.8
99592,17/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.8,14.7,0.2,1.6,3.5
99593,18/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.4,15.3,1.4,0.8,5.9
99594,19/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.3,18.1,0,0,2.4
99595,20/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.9,12,0,0,0.3
99596,21/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.5,14.2,6.8,4,3.8
99597,22/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6,13.8,0,1.2,3.3
99598,23/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.4,14.2,0,1,9.2
99599,24/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,2.6,14.9,0,1.4,7.2
99600,25/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,3.1,16.4,0,1.2,7.9
99601,26/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.1,13.8,0,0,9.5
99602,27/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,2.8,11.8,1.6,0,8.1
99603,28/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,0.7,14,0,4.6,7.3
99604,29/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,4.9,13,0,0.8,0.1
99605,30/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.5,16.1,3.4,1.4,7.2
99606,31/07/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.6,19.3,0.8,1.8,5
99607,1/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.6,13.8,1.8,1.8,5.6
99608,2/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.6,14.3,0,0,2.6
99609,3/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.2,18.1,0,0,5.6
99610,4/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9,13.8,8.2,4.4,4.4
99611,5/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.4,15,16.2,2.6,3.3
99612,6/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.4,11.9,1.2,0.4,0.5
99613,7/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.9,13.2,11.2,1.2,7
99614,8/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.2,14.4,0.8,2,6.5
99615,9/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.2,12.9,0,0,1.9
99616,10/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,4.7,11.7,0,0,7.3
99617,11/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,4.4,13.8,22,5,9.3
99618,12/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.8,14,0.8,1.6,5.6
99619,13/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.3,13.9,2.2,1.6,9.2
99620,14/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.8,12.8,0,2,0.8
99621,15/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.8,13.2,1.6,1.4,5.5
99622,16/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.6,14.1,0,0,7.6
99623,17/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.7,14.1,6.2,0,8.5
99624,18/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.5,14.9,0,4.6,5.7
99625,19/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.5,15.7,0,0.8,2
99626,20/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7,17,0,1.8,5.1
99627,21/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.3,13.4,1.4,2,5.8
99628,22/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,3.3,12.7,2,1.6,8
99629,23/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,3.2,14.1,0.8,0,3.6
99630,24/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,2.4,15.1,0,0,7.4
99631,25/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.4,17.4,0,4.6,9.2
99632,26/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,3.6,17.5,0,2.2,10.3
99633,27/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.7,15.5,0,2.6,10.2
99634,28/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.5,18.7,0,2.8,9.6
99635,29/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.7,17.6,0,2.8,0.5
99636,30/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.4,18.6,0,0,0.5
99637,31/08/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.6,15.2,8.4,0,6.2
99638,1/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.9,17.1,0.8,5.8,2.8
99639,2/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.1,16.8,1,1.6,9.3
99640,3/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.5,16.8,0,3.4,7.5
99641,4/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.5,17.5,0,3,10.3
99642,5/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.4,18.8,0,3.2,10.8
99643,6/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.4,22.6,0,0,10.3
99644,7/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.3,17,0,0,2.7
99645,8/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.3,18,1,7.6,10.8
99646,9/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,5.8,19.8,0,2.8,10.9
99647,10/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.6,21.9,0,3.4,6.4
99648,11/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.9,24.9,1,3.4,8.3
99649,12/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.6,21.3,0,4.4,9.4
99650,13/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.8,28.4,0,0,10.9
99651,14/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.8,17.5,0,0,8.2
99652,15/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.3,14.7,2.8,14.4,5
99653,16/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.7,15.3,0.4,3.6,6.4
99654,17/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.4,21,0,2.6,9.9
99655,18/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.9,24.8,0,5.4,6.8
99656,19/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.5,22.2,0,4.4,10.3
99657,20/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.7,17.3,1.6,0,7
99658,21/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.4,22.5,0,0,9.3
99659,22/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.1,15,0,12,2.6
99660,23/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.5,16.8,6.2,2.6,10.5
99661,24/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.4,19.4,0,3.4,9.4
99662,25/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.5,23.9,0,3,11
99663,26/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14,28,0,5.6,11.5
99664,27/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.3,33.7,0,0,10
99665,28/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.4,19.1,0,0,6
99666,29/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.1,16.7,1.2,16.4,11.4
99667,30/09/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.2,22.8,0,3.6,9.7
99668,1/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15,27.2,0,6.8,7.7
99669,2/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15,24.8,0,4,8.6
99670,3/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.2,20.4,0.4,4.2,0.7
99671,4/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.1,17.3,0,0,11.7
99672,5/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,6.6,22.8,0,0,11.8
99673,6/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.2,22,0,0,8.7
99674,7/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.2,16.4,2.8,14,3.9
99675,8/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,7.6,18.1,0.2,2.6,8.5
99676,9/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.5,21.1,1.2,2.6,12
99677,10/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.2,26.6,0,4.6,12.1
99678,11/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.7,29.1,0,0,12
99679,12/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.4,31.9,0.6,0,8.8
99680,13/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13,19,0,19,11.1
99681,14/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9,18.4,0,5,6.2
99682,15/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.3,19.8,0,4,10.7
99683,16/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.5,25.5,0,4.4,12.1
99684,17/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.8,31,0,5.2,12
99685,18/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16,34.6,0,0,9.5
99686,19/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.6,22.2,0,0,12.4
99687,20/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,10.4,20.7,0,18.8,12.4
99688,21/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.4,20.3,0,5.4,12.6
99689,22/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.5,20.7,0,5.6,10.6
99690,23/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.2,26.6,0,4.4,5.1
99691,24/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.7,30.9,0,4.4,11.7
99692,25/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,17.6,34.7,0,0,3.5
99693,26/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,17.1,23.7,0,0,6.9
99694,27/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.6,20.1,2.8,20,5.5
99695,28/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.1,24.1,0,3.2,12.8
99696,29/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.5,26.8,0,6.6,12.8
99697,30/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18.7,29.8,0,0,12.2
99698,31/10/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.3,18.1,0,7.6,12.1
99699,1/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.8,26.2,0,0,12.1
99700,2/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.4,26.3,1.4,0,6.2
99701,3/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.3,21.2,0,15.2,10
99702,4/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.6,25.9,0,5.8,9
99703,5/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.6,23.9,0.8,4.8,9.7
99704,6/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.2,29.5,0,6,8.6
99705,7/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18.3,22.5,0.2,8,1.4
99706,8/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.5,19,1.6,0,4.7
99707,9/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.7,22.7,0.2,0,9.2
99708,10/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.3,28.6,0,13,12.9
99709,11/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,17.5,34.5,0,6.6,11.7
99710,12/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,24.1,36.6,0,11.4,9.9
99711,13/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,22.5,26.2,0,10.2,11.3
99712,14/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14,20.7,0,5.6,11.1
99713,15/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.4,20.2,0,0,12.3
99714,16/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.8,23,0,0,9.2
99715,17/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.6,27.8,0,16.4,10.8
99716,18/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.7,22.2,1.4,7.2,0.8
99717,19/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16.8,25.1,0,5.2,1.1
99718,20/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.8,20.5,0.6,3.4,8.8
99719,21/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.7,19.9,0,6.2,4.3
99720,22/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.1,17.1,5,0,10.7
99721,23/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,8.7,22.3,0,0,12.1
99722,24/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.1,28.3,0,15.4,11.5
99723,25/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18.3,31.5,0,9.8,8.1
99724,26/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,17.3,27.9,0,7.2,12.5
99725,27/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16.2,25.2,0,7.6,7.7
99726,28/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.2,20.3,2.6,3.6,4.9
99727,29/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.6,21,0,0,13.3
99728,30/11/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.4,25.2,0,9.6,11.1
99729,1/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.6,21.3,0,6.8,9.6
99730,2/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13,23.2,0,5.4,11.3
99731,3/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.8,23.8,0,6,11
99732,4/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16.7,25,0,6,0.1
99733,5/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18,23.2,1,2.2,3.5
99734,6/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,13.2,23.1,0,0,6
99735,7/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.5,20.8,0,0,10.2
99736,8/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.4,29.3,0,14.4,11.6
99737,9/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16.7,26.2,1.4,6.6,7.4
99738,10/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.2,28,0,6.4,12.5
99739,11/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18.3,29.3,0,8.2,5.3
99740,12/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,17.3,20.7,9.8,4,5.3
99741,13/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.7,19.8,23.6,0,3.1
99742,14/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,12.1,20.4,0.6,0,7
99743,15/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,9.8,24.3,0,13.2,12.3
99744,16/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.5,25.9,0,6.4,7.5
99745,17/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18,29.3,0,5.6,8.7
99746,18/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16,22.6,0,6,10.7
99747,19/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,11.1,24.1,0,7,12.2
99748,20/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.7,30.5,0,0,12.6
99749,21/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,21.1,34.5,0,0,8.2
99750,22/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,19.1,24.8,0,27.2,5
99751,23/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16.2,27,0,4.6,8.3
99752,24/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,14.3,30.1,0,6.4,13.8
99753,25/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.6,30.8,0,0,4.6
99754,26/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18,33.6,0,0,13.4
99755,27/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18.5,25.3,2.6,20.8,12
99756,28/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,18,24.3,0,0,3.3
99757,29/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.4,22.8,0,12.8,9.3
99758,30/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,16.9,23.1,0.2,0,7
99759,31/12/2008,Adelaide,-34.9289,138.6011,South Australia,1345777,15.8,23.3,1.2,11.8,9
99760,1/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,16.9,22.9,0,0,10.9
99761,2/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.9,24.1,0,14.2,12.6
99762,3/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.8,29.1,0,0,12.7
99763,4/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,15.1,33.3,0,0,12
99764,5/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.6,30.5,0,24.6,13.3
99765,6/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,15.2,31,0,8.2,13.3
99766,7/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,16,25.1,0.2,8.2,9.1
99767,8/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.3,23.8,0,7.4,12.7
99768,9/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.8,26,0,8,9.5
99769,10/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.3,28.7,0,0,12.6
99770,11/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.4,28.4,0,0,12.5
99771,12/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.5,35.2,0,22.6,12.4
99772,13/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,21.1,41.3,0,10.2,10.7
99773,14/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,20,32.3,0,12.6,12.8
99774,15/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,15.1,25.2,0,10,11.3
99775,16/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.4,27.6,0,7.4,12.6
99776,17/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.3,27.2,0,0,12.9
99777,18/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,16.5,32.9,0,0,13
99778,19/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,19,38.5,0,24.8,13.1
99779,20/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,19.4,36.9,0,11.4,11.9
99780,21/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,17.4,29,0,9.2,11.8
99781,22/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,18.4,27.6,0,7.4,11
99782,23/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.3,27.6,0,7.6,11.7
99783,24/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,17.7,24.4,1,0,12.4
99784,25/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.9,30.4,0,0,12.9
99785,26/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,16.9,36.6,0,0,13.2
99786,27/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,21.2,43.2,0,32.2,12
99787,28/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,30.7,45.7,0,13,12.5
99788,29/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,33.9,43.4,0,14.6,12.9
99789,30/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,29.4,43.1,0,13.8,13.1
99790,31/01/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,27.5,41.1,0,14.4,13.1
99791,1/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,25.9,40.6,0,0,10
99792,2/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,28.3,38.8,0,24,11
99793,3/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,21.5,36.3,0,11.4,13
99794,4/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,19.3,33,0,8.6,13.1
99795,5/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,19.1,35.6,0,8.6,12.8
99796,6/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,21,43.9,0,8.8,12.1
99797,7/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,25.8,41.5,0,0,11.6
99798,8/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,18.6,24.8,0.8,0,4.3
99799,9/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,14.7,23.3,0,27.6,12.2
99800,10/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.7,21.1,0,9.4,6.4
99801,11/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,13.2,21.3,0,5,7.3
99802,12/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,12.5,23.8,0,4.8,12.7
99803,13/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,15.2,28.8,0,7,12.7
99804,14/02/2009,Adelaide,-34.9289,138.6011,South Australia,1345777,18.3,31.3,0,0,12.3
